game_index,ply,side,san,uci,top1_uci,top1_prob,top2_uci,top2_prob,top3_uci,top3_prob
8,28,B,Be7,f8e7,,,,,,
8,29,W,e4,e2e4,e2e4,0.7777777777777778,g3h4,0.010101010101010102,g3f4,0.010101010101010102
8,30,B,Nf8,g6f8,,,,,,
8,31,W,Bd3,f1d3,f1d3,0.7070707070707071,g3h4,0.010101010101010102,g3f4,0.010101010101010102
8,32,B,h5,h7h5,,,,,,
8,33,W,Bf4,g3f4,g3f4,0.6767676767676768,g3h4,0.010101010101010102,g3h2,0.010101010101010102
8,34,B,Bd7,e6d7,,,,,,
8,35,W,Bd2,f4d2,f4d2,0.6767676767676768,f4h6,0.010101010101010102,f4g5,0.010101010101010102
8,36,B,Be8,d7e8,,,,,,
8,37,W,e6,e5e6,e5e6,0.5151515151515151,f2g2,0.30303030303030304,d3a6,0.010101010101010102
8,38,B,f6,f7f6,,,,,,
8,39,W,e5,e4e5,e4e5,0.5050505050505051,f2g2,0.31313131313131315,d3a6,0.010101010101010102
8,40,B,Nxe6,f8e6,,,,,,
8,41,W,exf6,e5f6,e5f6,0.6464646464646465,d3h7,0.010101010101010102,d3g6,0.010101010101010102
8,42,B,Bxf6,e7f6,,,,,,
8,43,W,Rxf6,f2f6,f2f6,0.6060606060606061,a3a4,0.030303030303030304,d3h7,0.010101010101010102
8,44,B,gxf6,g7f6,,,,,,
8,45,W,h4,h3h4,h3h4,0.696969696969697,d3h7,0.010101010101010102,d3g6,0.010101010101010102
8,46,B,Ne5,c6e5,,,,,,
8,47,W,c4,c2c4,c2c4,0.5757575757575758,a3a4,0.13131313131313133,d3h7,0.010101010101010102
8,48,B,Nxd3+,e5d3,,,,,,
8,49,W,Kf1,e1f1,e1f1,0.5454545454545454,e1d1,0.45454545454545453,e1e2,0.0
8,50,B,Nxc1,d3c1,,,,,,
8,51,W,c5,c4c5,c4c5,0.8181818181818182,d2h6,0.010101010101010102,d2g5,0.010101010101010102
8,52,B,Bb5+,e8b5,,,,,,
8,53,W,Ke1,f1e1,f1e1,0.47474747474747475,f1f2,0.3838383838383838,g1e2,0.13131313131313133
8,54,B,Nd3+,c1d3,,,,,,
8,55,W,Kf1,e1f1,e1f1,0.5555555555555556,e1e2,0.43434343434343436,e1d1,0.010101010101010102
8,56,B,Ndxc5+,d3c5,,,,,,
8,57,W,Ke1,f1e1,f1e1,0.48484848484848486,f1f2,0.40404040404040403,f1g2,0.10101010101010101
8,58,B,Rhe8,h8e8,,,,,,
8,59,W,a4,a3a4,a3a4,0.8484848484848485,d2h6,0.010101010101010102,d2g5,0.010101010101010102
8,60,B,Nf4+,e6f4,,,,,,
8,61,W,Be3,d2e3,d2e3,0.5050505050505051,g1e2,0.47474747474747475,e1f2,0.010101010101010102
8,62,B,Bc6,b5c6,,,,,,
8,63,W,a5,a4a5,a4a5,0.9292929292929293,g1h3,0.010101010101010102,g1f3,0.010101010101010102
8,64,B,Rxe3+,e8e3,,,,,,
8,65,W,Ne2,g1e2,g1e2,0.8484848484848485,e1f1,0.1414141414141414,e1f2,0.010101010101010102
8,66,B,Rxe2+,e3e2,,,,,,
8,67,W,Kf1,e1f1,e1f1,1.0,,,,
8,68,B,Rd1#,d8d1,,,,,,
9,1,W,h3,h2h3,h2h3,0.24242424242424243,g1h3,0.23232323232323232,h2h4,0.15151515151515152
9,2,B,e5,e7e5,,,,,,
9,3,W,c3,c2c3,c2c3,0.15151515151515152,h1h2,0.1414141414141414,b1c3,0.12121212121212122
9,4,B,d5,d7d5,,,,,,
9,5,W,Qb3,d1b3,d1b3,0.4444444444444444,h1h2,0.23232323232323232,d1a4,0.10101010101010101
9,6,B,Nc6,b8c6,,,,,,
9,7,W,Qxb7,b3b7,b3b7,0.5151515151515151,h1h2,0.32323232323232326,b3b6,0.010101010101010102
9,8,B,Bxb7,c8b7,,,,,,
9,9,W,Rh2,h1h2,h1h2,0.3939393939393939,d2d4,0.37373737373737376,f2f4,0.1111111111111111
9,10,B,Nf6,g8f6,,,,,,
9,11,W,d4,d2d4,d2d4,0.40404040404040403,h2h1,0.30303030303030304,b2b4,0.15151515151515152
9,12,B,exd4,e5d4,,,,,,
9,13,W,Bf4,c1f4,c1f4,0.5959595959595959,h2h1,0.1919191919191919,g1f3,0.010101010101010102
9,14,B,Bd6,f8d6,,,,,,
9,15,W,Nd2,b1d2,b1d2,0.6161616161616161,b2b4,0.1414141414141414,f4h6,0.010101010101010102
9,16,B,Bxf4,d6f4,,,,,,
9,17,W,O-O-O,e1c1,e1c1,0.7676767676767676,h2h1,0.010101010101010102,d2e4,0.010101010101010102
9,18,B,Bxd2+,f4d2,,,,,,
9,19,W,Rxd2,d1d2,d1d2,0.3838383838383838,c1c2,0.37373737373737376,c1b1,0.23232323232323232
9,20,B,dxc3,d4c3,,,,,,
9,21,W,a4,a2a4,a2a4,0.7878787878787878,h2h1,0.010101010101010102,d2d5,0.010101010101010102
9,22,B,cxd2+,c3d2,,,,,,
9,23,W,Kb1,c1b1,c1b1,0.3939393939393939,c1c2,0.3434343434343434,c1d1,0.26262626262626265
9,24,B,d1=Q+,d2d1q,,,,,,
9,25,W,Ka2,b1a2,b1a2,1.0,,,,
9,26,B,Nb4+,c6b4,,,,,,
9,27,W,Ka3,a2a3,a2a3,1.0,,,,
9,28,B,Qa1+,d1a1,,,,,,
9,29,W,Kb3,a3b3,a3b3,0.5252525252525253,a3b4,0.47474747474747475,,
9,30,B,Qa2+,a1a2,,,,,,
9,31,W,Kc3,b3c3,b3c3,0.5050505050505051,b3b4,0.494949494949495,,
9,32,B,Ne4+,f6e4,,,,,,
9,33,W,Kd4,c3d4,c3d4,0.5353535353535354,c3b4,0.46464646464646464,,
9,34,B,Qf6+,d8f6,,,,,,
9,35,W,Ke3,d4e3,d4e3,1.0,,,,
9,36,B,d4#,d5d4,,,,,,
10,1,W,h3,h2h3,h2h3,0.25252525252525254,g1h3,0.24242424242424243,h2h4,0.2222222222222222
10,2,B,e5,e7e5,,,,,,
